Graph1 Name;Graph2 Name;Graph1 nb nodes;Graph2 nb nodes;Graph1 nb edges;Graph2 nb edges;Method;Param; distance;optimal solution found;Class Graph1;Class Graph2;matching
enzyme_188.gxl;enzyme_188.gxl;20;20;39;39;Distributed GED;-;  0.0000;true;2;2;Edge:7_<>8>7_<>8=0.0/Node:1>1=0.0/Edge:11_<>10>11_<>10=0.0/Edge:9_<>19>9_<>19=0.0/Edge:8_<>17>8_<>17=0.0/Edge:17_<>20>17_<>20=0.0/Edge:13_<>5>13_<>5=0.0/Edge:3_<>5>3_<>5=0.0/Node:11>11=0.0/Node:18>18=0.0/Node:6>6=0.0/Edge:12_<>3>12_<>3=0.0/Edge:19_<>20>19_<>20=0.0/Edge:6_<>15>6_<>15=0.0/Edge:4_<>14>4_<>14=0.0/Edge:5_<>14>5_<>14=0.0/Node:19>19=0.0/Node:17>17=0.0/Edge:3_<>13>3_<>13=0.0/Node:3>3=0.0/Edge:2_<>11>2_<>11=0.0/Edge:16_<>17>16_<>17=0.0/Node:13>13=0.0/Edge:7_<>16>7_<>16=0.0/Edge:13_<>14>13_<>14=0.0/Node:15>15=0.0/Edge:2_<>12>2_<>12=0.0/Edge:17_<>19>17_<>19=0.0/Edge:15_<>16>15_<>16=0.0/Edge:2_<>3>2_<>3=0.0/Node:12>12=0.0/Edge:8_<>16>8_<>16=0.0/Edge:1_<>10>1_<>10=0.0/Node:7>7=0.0/Edge:15_<>14>15_<>14=0.0/Node:9>9=0.0/Edge:12_<>11>12_<>11=0.0/Node:10>10=0.0/Edge:12_<>13>12_<>13=0.0/Node:4>4=0.0/Edge:1_<>18>1_<>18=0.0/Edge:11_<>18>11_<>18=0.0/Edge:9_<>20>9_<>20=0.0/Edge:5_<>6>5_<>6=0.0/Edge:13_<>4>13_<>4=0.0/Node:16>16=0.0/Node:20>20=0.0/Node:8>8=0.0/Edge:10_<>18>10_<>18=0.0/Node:14>14=0.0/Edge:4_<>5>4_<>5=0.0/Node:5>5=0.0/Edge:3_<>4>3_<>4=0.0/Edge:4_<>6>4_<>6=0.0/Edge:15_<>7>15_<>7=0.0/Edge:12_<>14>12_<>14=0.0/Edge:6_<>7>6_<>7=0.0/Edge:1_<>2>1_<>2=0.0/Node:2>2=0.0/
enzyme_188.gxl;enzyme_323.gxl;20;20;39;39;Distributed GED;-;190.5000;false;2;4;Edge:7_<>16>17_<>2=0.75/Edge:8_<>16>2_<>18=0.0/Edge:2_<>12>eps_id=0.25/Edge:16_<>17>3_<>2=0.5/Node:20>5=8.25/Node:15>8=8.25/Edge:eps_id>8_<>10=0.25/Edge:eps_id>3_<>4=0.5/Edge:13_<>4>eps_id=0.25/Node:14>9=8.25/Edge:17_<>19>eps_id=0.5/Edge:13_<>14>9_<>11=0.5/Edge:2_<>11>eps_id=0.25/Node:16>2=8.25/Edge:eps_id>4_<>19=0.5/Edge:eps_id>20_<>3=0.25/Edge:7_<>8>17_<>18=0.0/Edge:6_<>15>eps_id=0.25/Edge:15_<>16>eps_id=0.25/Edge:3_<>5>eps_id=0.25/Edge:eps_id>20_<>5=0.25/Node:19>6=8.25/Edge:19_<>20>5_<>6=0.0/Edge:eps_id>19_<>3=0.25/Edge:11_<>18>eps_id=0.25/Node:4>13=8.25/Edge:1_<>2>19_<>20=0.25/Node:2>19=8.25/Edge:eps_id>18_<>16=0.25/Edge:eps_id>5_<>4=0.25/Edge:eps_id>13_<>1=0.25/Edge:3_<>13>eps_id=0.25/Node:7>17=8.25/Edge:12_<>13>11_<>12=0.25/Edge:eps_id>1_<>17=0.25/Edge:10_<>18>eps_id=0.5/Edge:4_<>14>eps_id=0.25/Edge:8_<>17>3_<>18=0.25/Node:18>1=8.25/Node:17>3=8.25/Edge:eps_id>1_<>14=0.25/Node:12>12=8.25/Node:eps_id>7=8.25/Node:9>16=8.25/Edge:2_<>3>eps_id=0.25/Edge:11_<>10>eps_id=0.25/Edge:17_<>20>eps_id=0.25/Node:8>18=8.25/Edge:eps_id>6_<>8=0.25/Edge:6_<>7>eps_id=0.25/Edge:eps_id>16_<>17=0.25/Edge:12_<>11>12_<>10=0.0/Edge:15_<>14>8_<>9=0.25/Edge:eps_id>6_<>7=0.5/Node:11>10=8.25/Edge:1_<>10>4_<>20=0.0/Edge:9_<>20>eps_id=0.25/Node:3>eps_id=8.25/Edge:4_<>6>13_<>14=0.75/Edge:5_<>6>14_<>15=0.5/Edge:5_<>14>eps_id=0.25/Edge:12_<>3>eps_id=0.25/Edge:eps_id>2_<>16=0.25/Edge:15_<>7>eps_id=0.5/Edge:eps_id>7_<>8=0.5/Edge:eps_id>1_<>15=0.25/Edge:9_<>19>eps_id=0.25/Edge:eps_id>10_<>11=0.5/Edge:4_<>5>13_<>15=0.0/Edge:eps_id>5_<>7=0.25/Node:5>15=8.25/Edge:3_<>4>eps_id=0.25/Node:6>14=8.25/Edge:eps_id>9_<>10=0.5/Node:1>20=8.25/Edge:1_<>18>eps_id=0.25/Edge:eps_id>15_<>17=0.25/Node:10>4=8.25/Node:13>11=8.25/Edge:12_<>14>12_<>9=0.0/Edge:13_<>5>eps_id=0.25/
enzyme_188.gxl;enzyme_464.gxl;20;20;39;45;BeamSearch GED;100;180.7500;false;2;5;Edge:17_<>20>eps_id=0.25/Edge:1_<>18>eps_id=0.25/Edge:19_<>20>eps_id=0.5/Node:20>20=8.25/Edge:7_<>8>11_<>18=0.0/Edge:3_<>13>eps_id=0.25/Edge:1_<>10>eps_id=0.25/Edge:5_<>14>eps_id=0.25/Edge:11_<>18>1_<>4=0.0/Edge:7_<>16>11_<>12=0.0/Edge:9_<>19>eps_id=0.25/Edge:3_<>5>8_<>6=0.0/Edge:3_<>4>6_<>7=0.5/Edge:13_<>14>14_<>15=0.0/Edge:15_<>16>eps_id=0.25/Edge:11_<>10>eps_id=0.25/Edge:15_<>14>eps_id=0.25/Edge:eps_id>20_<>7=0.25/Edge:17_<>19>16_<>17=0.0/Node:9>10=8.25/Node:8>18=8.25/Node:19>17=8.25/Node:7>11=8.25/Node:18>4=8.25/Node:6>9=8.25/Node:17>16=8.25/Node:5>8=8.25/Node:16>12=8.25/Node:4>7=8.25/Node:15>2=8.25/Node:3>6=8.25/Edge:6_<>7>eps_id=0.25/Node:14>14=8.25/Node:2>5=8.25/Node:13>15=8.25/Node:1>19=8.25/Node:12>13=8.25/Node:11>1=8.25/Node:10>3=8.25/Edge:13_<>5>eps_id=0.25/Edge:13_<>4>7_<>15=0.0/Edge:2_<>3>5_<>6=0.5/Edge:2_<>12>5_<>13=0.0/Edge:2_<>11>eps_id=0.25/Edge:4_<>14>14_<>7=0.0/Edge:10_<>18>3_<>4=0.5/Edge:5_<>6>eps_id=0.5/Edge:6_<>15>eps_id=0.25/Edge:8_<>17>eps_id=0.5/Edge:8_<>16>18_<>12=0.0/Edge:12_<>14>eps_id=0.25/Edge:12_<>13>13_<>15=0.0/Edge:12_<>11>eps_id=0.25/Edge:12_<>3>13_<>6=0.0/Edge:1_<>2>eps_id=0.25/Edge:16_<>17>eps_id=0.25/Edge:15_<>7>2_<>11=0.0/Edge:4_<>6>9_<>7=0.5/Edge:9_<>20>10_<>20=0.5/Edge:4_<>5>eps_id=0.25/
enzyme_188.gxl;enzyme_467.gxl;20;20;39;39;Distributed GED;-;223.7500;false;2;5;Edge:19_<>20>6_<>17=0.25/Edge:6_<>15>eps_id=0.25/Edge:17_<>19>eps_id=0.5/Edge:16_<>17>eps_id=0.25/Node:9>12=8.25/Edge:eps_id>2_<>14=0.25/Node:2>20=8.25/Node:1>13=8.25/Edge:eps_id>14_<>6=0.25/Edge:2_<>11>eps_id=0.25/Edge:1_<>10>13_<>19=0.0/Edge:17_<>20>eps_id=0.25/Edge:4_<>14>eps_id=0.25/Node:5>11=8.25/Edge:eps_id>7_<>10=0.25/Edge:9_<>19>eps_id=0.25/Edge:eps_id>17_<>18=0.5/Edge:3_<>13>5_<>14=0.0/Edge:13_<>14>4_<>5=0.75/Edge:15_<>16>eps_id=0.25/Node:eps_id>15=8.25/Node:eps_id>16=8.25/Edge:eps_id>16_<>19=0.5/Edge:10_<>18>eps_id=0.5/Node:17>eps_id=8.25/Edge:eps_id>6_<>1=0.25/Edge:7_<>16>eps_id=0.5/Edge:13_<>5>eps_id=0.25/Edge:eps_id>15_<>18=0.25/Edge:eps_id>18_<>8=0.25/Edge:2_<>12>eps_id=0.25/Edge:8_<>17>eps_id=0.5/Edge:eps_id>15_<>11=0.25/Edge:9_<>20>eps_id=0.25/Edge:eps_id>6_<>5=0.25/Edge:5_<>6>11_<>18=0.25/Edge:eps_id>3_<>7=0.25/Edge:eps_id>1_<>2=0.25/Edge:eps_id>3_<>10=0.5/Edge:eps_id>7_<>17=0.25/Edge:3_<>5>eps_id=0.25/Edge:15_<>14>4_<>2=0.0/Node:6>18=8.25/Edge:12_<>11>eps_id=0.25/Edge:eps_id>17_<>11=0.25/Edge:eps_id>20_<>19=0.25/Node:13>5=8.25/Edge:1_<>2>13_<>20=0.0/Node:7>7=8.25/Edge:11_<>18>eps_id=0.25/Edge:eps_id>8_<>9=0.25/Node:12>1=8.25/Node:4>10=8.25/Edge:eps_id>19_<>9=0.25/Edge:11_<>10>eps_id=0.25/Node:eps_id>9=8.25/Node:15>2=8.25/Edge:eps_id>8_<>11=0.25/Edge:12_<>14>1_<>4=0.0/Edge:eps_id>15_<>16=0.25/Edge:7_<>8>eps_id=0.25/Node:18>eps_id=8.25/Edge:3_<>4>14_<>10=0.5/Node:3>14=8.25/Node:14>4=8.25/Edge:5_<>14>eps_id=0.25/Edge:2_<>3>eps_id=0.25/Edge:eps_id>4_<>7=0.25/Edge:4_<>5>10_<>11=0.25/Edge:12_<>13>1_<>5=0.0/Edge:4_<>6>10_<>18=0.0/Edge:15_<>7>2_<>7=0.0/Node:11>3=8.25/Edge:6_<>7>eps_id=0.25/Edge:eps_id>3_<>14=0.25/Node:19>6=8.25/Node:10>19=16.5/Edge:eps_id>20_<>12=0.25/Node:8>8=8.25/Edge:1_<>18>eps_id=0.25/Edge:eps_id>13_<>12=0.25/Edge:eps_id>6_<>2=0.25/Edge:8_<>16>eps_id=0.25/Edge:13_<>4>eps_id=0.25/Edge:12_<>3>eps_id=0.25/Edge:eps_id>16_<>12=0.25/Edge:eps_id>14_<>17=0.25/Edge:eps_id>9_<>12=0.5/Node:16>eps_id=8.25/Node:20>17=16.5/
enzyme_188.gxl;enzyme_75.gxl;20;20;39;39;Distributed GED;-;189.0000;false;2;1;Edge:eps_id>16_<>19=0.25/Edge:2_<>12>eps_id=0.25/Edge:17_<>19>eps_id=0.5/Edge:eps_id>5_<>18=0.25/Edge:9_<>19>eps_id=0.25/Node:13>5=8.25/Edge:4_<>5>14_<>16=0.25/Node:16>8=8.25/Edge:13_<>5>eps_id=0.25/Edge:5_<>6>eps_id=0.5/Node:14>4=8.25/Node:18>10=8.25/Edge:1_<>2>eps_id=0.25/Edge:7_<>8>eps_id=0.25/Edge:6_<>15>eps_id=0.25/Edge:3_<>4>16_<>17=0.25/Edge:19_<>20>3_<>18=0.0/Edge:eps_id>4_<>18=0.25/Edge:eps_id>9_<>11=0.25/Edge:12_<>14>eps_id=0.25/Node:6>20=8.25/Edge:11_<>18>eps_id=0.25/Edge:eps_id>2_<>20=0.25/Edge:8_<>17>7_<>12=0.0/Edge:3_<>13>eps_id=0.25/Edge:eps_id>10_<>8=0.25/Edge:eps_id>7_<>13=0.25/Edge:3_<>5>14_<>17=0.0/Edge:17_<>20>eps_id=0.25/Node:9>15=8.25/Edge:eps_id>15_<>5=0.25/Edge:eps_id>6_<>15=0.25/Node:17>7=8.25/Node:4>16=8.25/Edge:eps_id>1_<>14=0.25/Edge:12_<>11>eps_id=0.25/Edge:15_<>16>eps_id=0.25/Node:8>12=8.25/Edge:4_<>6>16_<>20=0.0/Node:19>18=16.5/Edge:8_<>16>12_<>8=0.25/Edge:13_<>14>5_<>4=0.0/Node:7>11=8.25/Node:2>19=8.25/Edge:5_<>14>eps_id=0.25/Edge:eps_id>12_<>13=0.25/Edge:eps_id>1_<>17=0.25/Edge:1_<>10>eps_id=0.25/Edge:12_<>13>eps_id=0.25/Node:15>1=8.25/Edge:2_<>3>17_<>19=0.25/Edge:1_<>18>eps_id=0.25/Node:1>13=8.25/Edge:15_<>14>eps_id=0.25/Edge:4_<>14>eps_id=0.25/Edge:12_<>3>eps_id=0.25/Edge:9_<>20>eps_id=0.25/Edge:7_<>16>8_<>11=0.0/Edge:15_<>7>eps_id=0.5/Edge:eps_id>10_<>11=0.25/Node:5>14=8.25/Node:10>9=8.25/Edge:eps_id>3_<>2=0.25/Edge:eps_id>2_<>17=0.25/Edge:eps_id>1_<>16=0.25/Edge:eps_id>19_<>20=0.5/Edge:2_<>11>2_<>19=0.5/Edge:13_<>4>eps_id=0.25/Edge:eps_id>6_<>7=0.25/Node:12>6=8.25/Edge:eps_id>15_<>4=0.25/Edge:eps_id>3_<>4=0.25/Edge:eps_id>8_<>9=0.25/Edge:10_<>18>10_<>9=0.25/Edge:6_<>7>eps_id=0.25/Edge:eps_id>18_<>2=0.25/Edge:eps_id>17_<>20=0.25/Edge:eps_id>6_<>13=0.5/Edge:16_<>17>eps_id=0.25/Node:3>17=8.25/Edge:11_<>10>eps_id=0.25/Node:11>2=8.25/Node:20>3=8.25/
enzyme_188.gxl;enzyme_363.gxl;20;20;39;46;BeamSearch GED;100;179.2500;false;2;4;Edge:17_<>20>5_<>7=0.0/Edge:1_<>18>11_<>19=0.0/Edge:19_<>20>5_<>6=0.5/Node:20>5=8.25/Edge:7_<>8>13_<>15=0.5/Edge:3_<>13>17_<>9=0.0/Edge:1_<>10>eps_id=0.25/Edge:5_<>14>eps_id=0.25/Edge:11_<>18>eps_id=0.25/Edge:7_<>16>13_<>4=0.25/Edge:9_<>19>eps_id=0.25/Edge:3_<>5>eps_id=0.25/Edge:3_<>4>17_<>16=0.0/Edge:13_<>14>9_<>10=0.0/Edge:15_<>16>eps_id=0.25/Edge:11_<>10>1_<>2=0.0/Edge:15_<>14>eps_id=0.25/Edge:eps_id>15_<>5=0.25/Edge:17_<>19>6_<>7=0.0/Node:9>14=8.25/Node:8>15=8.25/Node:19>6=8.25/Node:7>13=8.25/Node:18>11=8.25/Node:6>12=8.25/Node:17>7=8.25/Node:5>20=8.25/Node:16>4=8.25/Node:4>16=8.25/Node:15>3=8.25/Node:3>17=8.25/Edge:6_<>7>13_<>12=0.5/Node:14>10=8.25/Node:2>18=8.25/Node:13>9=8.25/Node:1>19=8.25/Node:12>8=8.25/Node:11>2=8.25/Node:10>1=8.25/Edge:13_<>5>eps_id=0.25/Edge:13_<>4>9_<>16=0.0/Edge:2_<>3>18_<>17=0.0/Edge:2_<>12>18_<>8=0.0/Edge:2_<>11>eps_id=0.25/Edge:4_<>14>16_<>10=0.5/Edge:10_<>18>eps_id=0.5/Edge:5_<>6>eps_id=0.5/Edge:6_<>15>3_<>12=0.5/Edge:8_<>17>eps_id=0.5/Edge:8_<>16>4_<>15=0.5/Edge:12_<>14>10_<>8=0.0/Edge:12_<>13>8_<>9=0.0/Edge:12_<>11>eps_id=0.25/Edge:12_<>3>8_<>17=0.0/Edge:1_<>2>eps_id=0.25/Edge:16_<>17>4_<>7=0.0/Edge:15_<>7>3_<>13=0.0/Edge:4_<>6>eps_id=0.25/Edge:9_<>20>eps_id=0.25/Edge:4_<>5>20_<>16=0.0/
enzyme_188.gxl;enzyme_468.gxl;20;20;39;39;Distributed GED;-;222.5000;false;2;5;Edge:eps_id>6_<>7=0.25/Edge:3_<>4>eps_id=0.25/Edge:eps_id>5_<>7=0.25/Edge:9_<>20>eps_id=0.25/Node:1>7=8.25/Node:7>10=8.25/Node:eps_id>12=8.25/Edge:eps_id>3_<>14=0.25/Edge:eps_id>8_<>11=0.25/Edge:10_<>18>eps_id=0.5/Edge:11_<>10>eps_id=0.25/Node:5>19=8.25/Edge:eps_id>20_<>12=0.25/Edge:eps_id>20_<>19=0.25/Edge:7_<>8>14_<>10=0.0/Edge:13_<>5>eps_id=0.25/Edge:eps_id>3_<>7=0.25/Edge:5_<>14>eps_id=0.25/Edge:eps_id>18_<>8=0.25/Node:17>5=8.25/Node:9>8=8.25/Edge:19_<>20>eps_id=0.5/Edge:12_<>13>2_<>1=0.0/Edge:4_<>5>19_<>9=0.0/Edge:8_<>17>5_<>14=0.0/Edge:eps_id>16_<>12=0.25/Node:14>6=8.25/Node:15>3=8.25/Edge:8_<>16>eps_id=0.25/Edge:eps_id>17_<>11=0.25/Edge:eps_id>2_<>7=0.25/Edge:eps_id>8_<>9=0.25/Node:19>eps_id=8.25/Edge:eps_id>6_<>17=0.25/Edge:eps_id>7_<>10=0.25/Node:6>11=8.25/Node:eps_id>18=8.25/Edge:eps_id>15_<>18=0.25/Edge:eps_id>2_<>4=0.25/Edge:eps_id>6_<>14=0.25/Edge:11_<>18>eps_id=0.25/Edge:15_<>7>3_<>10=0.25/Edge:eps_id>15_<>16=0.25/Edge:eps_id>17_<>18=0.5/Node:16>4=8.25/Edge:eps_id>15_<>11=0.25/Edge:4_<>6>eps_id=0.25/Node:4>9=8.25/Edge:12_<>3>eps_id=0.25/Node:11>eps_id=8.25/Edge:2_<>11>eps_id=0.25/Node:eps_id>15=8.25/Edge:13_<>14>eps_id=0.25/Edge:eps_id>13_<>12=0.25/Edge:17_<>20>eps_id=0.25/Edge:16_<>17>4_<>5=0.25/Edge:eps_id>10_<>18=0.25/Edge:eps_id>16_<>19=0.5/Edge:7_<>16>eps_id=0.5/Node:3>13=8.25/Node:2>20=8.25/Edge:15_<>16>eps_id=0.25/Node:12>2=8.25/Edge:1_<>10>eps_id=0.25/Node:20>eps_id=8.25/Node:eps_id>16=8.25/Node:13>1=8.25/Edge:5_<>6>eps_id=0.5/Edge:15_<>14>3_<>6=0.0/Node:18>17=16.5/Edge:2_<>12>eps_id=0.25/Edge:3_<>5>13_<>19=0.0/Edge:6_<>7>10_<>11=0.25/Edge:13_<>4>eps_id=0.25/Edge:12_<>14>eps_id=0.25/Edge:eps_id>9_<>12=0.5/Edge:2_<>3>13_<>20=0.0/Edge:eps_id>14_<>17=0.25/Edge:9_<>19>eps_id=0.25/Node:8>14=8.25/Edge:12_<>11>eps_id=0.25/Edge:1_<>18>7_<>17=0.0/Edge:4_<>14>eps_id=0.25/Node:10>eps_id=8.25/Edge:1_<>2>eps_id=0.25/Edge:17_<>19>eps_id=0.5/Edge:3_<>13>eps_id=0.25/Edge:eps_id>1_<>5=0.25/Edge:6_<>15>eps_id=0.25/
enzyme_188.gxl;enzyme_79.gxl;20;20;39;39;Distributed GED;-;188.7500;false;2;1;Edge:eps_id>10_<>11=0.25/Edge:12_<>11>5_<>3=0.0/Node:16>7=8.25/Edge:7_<>8>eps_id=0.25/Node:11>5=8.25/Node:20>10=8.25/Edge:eps_id>7_<>13=0.25/Edge:7_<>16>eps_id=0.5/Edge:13_<>4>eps_id=0.25/Edge:eps_id>18_<>2=0.25/Node:8>12=8.25/Node:14>2=8.25/Node:6>19=8.25/Edge:9_<>20>eps_id=0.25/Edge:eps_id>14_<>16=0.5/Edge:eps_id>12_<>13=0.25/Edge:eps_id>8_<>11=0.25/Edge:3_<>5>14_<>17=0.0/Edge:eps_id>2_<>19=0.25/Edge:6_<>7>16_<>19=0.0/Node:2>15=8.25/Node:eps_id>20=8.25/Node:4>11=8.25/Node:1>13=8.25/Edge:5_<>6>17_<>19=0.5/Node:3>14=8.25/Node:10>4=8.25/Edge:4_<>14>eps_id=0.25/Edge:1_<>10>eps_id=0.25/Edge:10_<>18>eps_id=0.5/Edge:9_<>19>eps_id=0.25/Edge:2_<>3>eps_id=0.25/Edge:15_<>16>eps_id=0.25/Edge:eps_id>2_<>20=0.25/Edge:4_<>6>eps_id=0.25/Edge:11_<>18>6_<>5=0.0/Edge:17_<>20>8_<>10=0.0/Edge:eps_id>4_<>3=0.25/Edge:12_<>13>eps_id=0.25/Edge:eps_id>20_<>19=0.25/Node:13>eps_id=8.25/Edge:eps_id>11_<>9=0.5/Edge:15_<>7>1_<>16=0.25/Edge:15_<>14>eps_id=0.25/Node:18>6=8.25/Edge:3_<>4>eps_id=0.25/Edge:11_<>10>5_<>4=0.0/Edge:eps_id>1_<>17=0.25/Edge:eps_id>16_<>17=0.5/Edge:eps_id>15_<>18=0.25/Node:15>1=8.25/Node:12>3=8.25/Edge:1_<>18>6_<>13=0.25/Edge:1_<>2>15_<>13=0.0/Edge:eps_id>11_<>12=0.25/Edge:16_<>17>7_<>8=0.0/Edge:eps_id>15_<>6=0.25/Node:7>16=8.25/Edge:4_<>5>eps_id=0.25/Edge:12_<>14>2_<>3=0.75/Edge:2_<>12>eps_id=0.25/Node:17>8=8.25/Edge:6_<>15>eps_id=0.25/Edge:eps_id>16_<>20=0.25/Edge:eps_id>20_<>17=0.25/Edge:12_<>3>eps_id=0.25/Edge:17_<>19>8_<>9=0.25/Edge:eps_id>18_<>20=0.25/Edge:eps_id>4_<>18=0.25/Edge:13_<>5>eps_id=0.25/Node:5>17=8.25/Edge:5_<>14>eps_id=0.25/Edge:3_<>13>eps_id=0.25/Edge:13_<>14>eps_id=0.25/Node:9>18=8.25/Edge:8_<>16>7_<>12=0.5/Edge:2_<>11>15_<>5=0.0/Edge:eps_id>6_<>7=0.25/Edge:8_<>17>12_<>8=0.5/Edge:19_<>20>9_<>10=0.0/Edge:eps_id>1_<>14=0.25/Edge:eps_id>18_<>3=0.25/Node:19>9=8.25/
enzyme_188.gxl;enzyme_145.gxl;20;20;39;39;Distributed GED;-;196.5000;false;2;2;Edge:eps_id>17_<>2=0.25/Edge:11_<>10>3_<>19=0.0/Edge:12_<>14>eps_id=0.25/Edge:eps_id>12_<>20=0.25/Edge:10_<>18>eps_id=0.5/Edge:eps_id>9_<>19=0.25/Edge:eps_id>15_<>7=0.25/Edge:1_<>10>eps_id=0.25/Node:15>2=8.25/Edge:8_<>16>13_<>16=0.5/Edge:15_<>14>1_<>2=0.0/Edge:4_<>6>eps_id=0.25/Edge:15_<>7>6_<>2=0.25/Node:2>9=8.25/Edge:eps_id>5_<>13=0.25/Node:4>12=8.25/Edge:2_<>12>eps_id=0.25/Edge:11_<>18>3_<>4=0.0/Edge:eps_id>3_<>7=0.25/Edge:9_<>19>eps_id=0.25/Edge:eps_id>4_<>7=0.25/Node:5>10=8.25/Node:9>15=8.25/Edge:eps_id>4_<>14=0.5/Edge:3_<>5>8_<>10=0.0/Edge:eps_id>20_<>15=0.5/Edge:eps_id>8_<>19=0.25/Node:3>8=8.25/Edge:1_<>2>eps_id=0.25/Edge:eps_id>9_<>7=0.25/Edge:13_<>5>10_<>17=0.0/Edge:eps_id>11_<>17=0.25/Edge:7_<>16>16_<>6=0.5/Edge:eps_id>10_<>18=0.25/Edge:3_<>4>eps_id=0.25/Edge:eps_id>12_<>15=0.25/Edge:eps_id>1_<>16=0.25/Edge:2_<>11>3_<>9=0.0/Edge:7_<>8>6_<>13=0.0/Edge:1_<>18>eps_id=0.25/Edge:19_<>20>eps_id=0.5/Node:19>eps_id=8.25/Edge:12_<>13>18_<>17=0.0/Node:16>16=8.25/Edge:5_<>14>eps_id=0.25/Node:eps_id>7=8.25/Edge:12_<>3>eps_id=0.25/Edge:eps_id>7_<>14=0.25/Node:17>20=8.25/Edge:eps_id>10_<>19=0.25/Edge:3_<>13>eps_id=0.25/Node:18>4=8.25/Edge:4_<>14>eps_id=0.25/Edge:5_<>6>10_<>11=0.25/Edge:eps_id>6_<>5=0.25/Node:11>3=8.25/Edge:eps_id>11_<>18=0.5/Edge:4_<>5>eps_id=0.25/Edge:13_<>14>1_<>17=0.5/Node:12>18=8.25/Edge:12_<>11>eps_id=0.25/Edge:eps_id>20_<>4=0.25/Node:7>6=8.25/Node:13>17=8.25/Edge:eps_id>12_<>14=0.25/Edge:15_<>16>2_<>16=0.0/Edge:eps_id>16_<>5=0.25/Node:20>14=16.5/Edge:2_<>3>8_<>9=0.25/Node:6>11=8.25/Edge:6_<>7>eps_id=0.25/Edge:8_<>17>eps_id=0.5/Edge:9_<>20>14_<>15=0.0/Edge:17_<>19>eps_id=0.5/Node:14>1=8.25/Node:10>19=8.25/Edge:13_<>4>eps_id=0.25/Edge:6_<>15>eps_id=0.25/Edge:16_<>17>eps_id=0.25/Node:1>5=8.25/Edge:17_<>20>20_<>14=0.0/Node:8>13=8.25/
enzyme_188.gxl;enzyme_364.gxl;20;20;39;49;BeamSearch GED;10;178.7500;false;2;4;Edge:17_<>20>5_<>7=0.0/Edge:1_<>18>eps_id=0.25/Edge:19_<>20>5_<>6=0.5/Node:20>5=8.25/Edge:7_<>8>18_<>15=0.0/Edge:3_<>13>9_<>16=0.0/Edge:1_<>10>eps_id=0.25/Edge:5_<>14>eps_id=0.25/Edge:11_<>18>eps_id=0.25/Edge:7_<>16>4_<>15=0.25/Edge:9_<>19>eps_id=0.25/Edge:3_<>5>eps_id=0.25/Edge:3_<>4>17_<>16=0.0/Edge:13_<>14>8_<>9=0.0/Edge:15_<>16>eps_id=0.25/Edge:11_<>10>eps_id=0.25/Edge:15_<>14>eps_id=0.25/Edge:eps_id>15_<>5=0.25/Edge:17_<>19>6_<>7=0.0/Node:9>14=8.25/Node:8>18=8.25/Node:19>6=8.25/Node:7>15=8.25/Node:18>2=8.25/Node:6>13=8.25/Node:17>7=8.25/Node:5>12=8.25/Node:16>4=8.25/Node:4>17=8.25/Node:15>3=8.25/Node:3>16=8.25/Edge:6_<>7>13_<>15=0.5/Node:14>8=8.25/Node:2>19=8.25/Node:13>9=8.25/Node:1>20=8.25/Node:12>10=8.25/Node:11>11=8.25/Node:10>1=8.25/Edge:13_<>5>eps_id=0.25/Edge:13_<>4>17_<>9=0.0/Edge:2_<>3>16_<>19=0.0/Edge:2_<>12>10_<>19=0.0/Edge:2_<>11>11_<>19=0.0/Edge:4_<>14>8_<>17=0.5/Edge:10_<>18>1_<>2=0.25/Edge:5_<>6>12_<>13=0.75/Edge:6_<>15>3_<>13=0.25/Edge:8_<>17>7_<>18=0.25/Edge:8_<>16>eps_id=0.25/Edge:12_<>14>10_<>8=0.0/Edge:12_<>13>9_<>10=0.0/Edge:12_<>11>10_<>11=0.5/Edge:12_<>3>16_<>10=0.0/Edge:1_<>2>19_<>20=0.0/Edge:16_<>17>4_<>7=0.0/Edge:15_<>7>15_<>3=0.25/Edge:4_<>6>eps_id=0.25/Edge:9_<>20>eps_id=0.25/Edge:4_<>5>eps_id=0.25/
